"","host_response_rate","host_is_superhost","host_listings_count","host_identity_verified","neighbourhood","latitude","longitude","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","security_deposit","cleaning_fee","guests_included","minimum_nights","maximum_nights","availability_365","number_of_reviews","first_review","last_review","review_scores_rating","calculated_host_listings_count","date_diff"
"13134","N/A","f",1,"f","Morningside Heights",43.82366,-79.21583,"t","House","Private room",2,1,1,1,"Real Bed","$39.00","$199.00","$20.00",1,1,1125,78,0,"","",NA,1,NA
"13135","N/A","f",1,"t","Old East York",43.6965,-79.331,"t","House","Private room",1,1,1,1,"Real Bed","$160.00","$1,000.00","$35.00",4,1,1124,118,3,"2018-08-04","2018-08-24",80,2,20
"13136","71%","f",2,"f","Downtown Toronto",43.63897,-79.3983,"t","Condominium","Entire home/apt",3,1,1,1,"Real Bed","$299.00","$150.00","$60.00",2,1,1125,119,1,"2019-01-19","2019-01-19",80,1,0
"13137","100%","f",2,"f","Entertainment District",43.64114,-79.39138,"t","Condominium","Private room",2,1,1,1,"Real Bed","$89.00","$150.00","$23.00",1,2,30,42,27,"2018-07-05","2018-09-03",100,2,60
"13138","100%","f",3,"f","Downtown Toronto",43.65955,-79.40747,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$91.00","$150.00","$40.00",4,3,1125,69,1,"2018-08-22","2018-08-22",80,2,0
"13139","100%","t",2,"t","Agincourt",43.78737,-79.28722,"t","Bungalow","Entire home/apt",4,2,2,2,"Real Bed","$149.00","$200.00","$30.00",2,2,10,64,3,"2018-07-11","2018-08-05",100,2,25
"13140","100%","f",2,"f","Palmerston/Little Italy",43.65943,-79.41041,"t","House","Private room",2,1,1,1,"Real Bed","$60.00","$400.00","$30.00",1,2,1125,145,17,"2018-07-21","2019-05-05",94,2,288
"13141","N/A","f",1,"t","Westminster/Branson",43.77787,-79.4514,"t","Apartment","Private room",1,1,1,1,"Real Bed","$90.00","","$45.00",1,2,10,178,0,"","",NA,1,NA
"13142","100%","t",5,"f","Downsview",43.72931,-79.50272,"f","Bungalow","Private room",2,1,1,1,"Real Bed","$42.00","","$25.00",1,4,1125,363,5,"2018-07-15","2019-03-31",100,5,259
"13143","100%","f",1,"t","Downtown Toronto",43.65268,-79.37027,"t","Apartment","Entire home/apt",3,1,0,1,"Real Bed","$201.00","$336.00","$67.00",2,2,1125,178,21,"2018-07-07","2019-05-01",91,1,298
"13144","100%","t",1,"f","Fashion District",43.64288,-79.40193,"t","Condominium","Entire home/apt",3,1,1,2,"Real Bed","$171.00","$250.00","$45.00",1,1,21,49,35,"2018-07-07","2019-04-21",95,1,288
"13145","0%","f",1,"f","Henry Farm",43.76949,-79.37036,"f","Condominium","Private room",2,1,1,1,"Real Bed","$128.00","","",1,1,1125,180,2,"2018-07-01","2018-07-03",100,1,2
"13146","100%","f",3,"f","Stonegate-Queensway",43.63299,-79.4853,"t","Apartment","Entire home/apt",4,1,2,3,"Real Bed","$99.00","$150.00","$89.00",3,3,60,0,2,"2018-07-30","2018-08-17",70,3,18
"13147","100%","t",1,"f","Downtown Toronto",43.64991,-79.38818,"t","Condominium","Entire home/apt",4,1,1,2,"Real Bed","$81.00","$0.00","$80.00",2,2,1125,220,47,"2018-08-16","2019-04-08",99,1,235
"13148","100%","t",1,"f","Saint Andrew/Windfields",43.75092,-79.38157,"t","Townhouse","Entire home/apt",10,2.5,5,5,"Real Bed","$209.00","$500.00","$220.00",5,3,1125,217,8,"2018-08-28","2019-03-25",95,1,209
"13149","100%","f",3,"f","Downtown Toronto",43.6455,-79.3764,"t","Condominium","Private room",2,1,1,1,"Real Bed","$64.00","$750.00","$80.00",1,1,1125,0,0,"","",NA,1,NA
"13150","100%","f",3,"t","Downtown Toronto",43.66635,-79.38674,"f","Condominium","Entire home/apt",3,1,1,1,"Real Bed","$93.00","$0.00","$99.00",2,3,365,179,21,"2018-07-08","2019-05-01",94,3,297
"13151","100%","t",1,"f","Newtonbrook",43.79387,-79.41212,"f","Apartment","Entire home/apt",2,1,1,0,"Real Bed","$95.00","","",1,1,1125,136,11,"2018-07-22","2019-03-18",100,1,239
"13152","100%","f",25,"f","West Humber",43.73583,-79.5918,"t","Townhouse","Private room",3,2,1,3,"Real Bed","$46.00","$0.00","$20.00",1,3,30,42,4,"2018-07-30","2018-10-13",90,25,75
"13153","100%","t",1,"f","Willowdale",43.77637,-79.41035,"t","Guest suite","Entire home/apt",3,1,0,1,"Real Bed","$71.00","","",1,2,1125,166,42,"2018-07-05","2019-04-27",99,1,296
"13154","67%","f",1,"f","Clairlea",43.71855,-79.2924,"t","House","Private room",1,1,1,1,"Real Bed","$55.00","$0.00","$50.00",1,2,1125,125,6,"2018-08-03","2018-09-22",97,1,50
"13155","100%","t",5,"f","Downtown Toronto",43.63966,-79.39791,"f","Condominium","Entire home/apt",6,2,2,3,"Real Bed","$341.00","","$114.00",1,1,30,218,9,"2019-02-18","2019-04-28",100,5,69
"13156","N/A","f",1,"t","Entertainment District",43.64721,-79.39162,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$136.00","$0.00","$45.00",1,4,30,0,3,"2018-08-13","2018-08-25",100,1,12
"13157","100%","f",3,"t","Trinity-Bellwoods",43.6489,-79.41416,"t","Guest suite","Entire home/apt",2,1,1,1,"Real Bed","$99.00","$0.00","$50.00",1,2,28,121,43,"2018-07-05","2019-05-02",93,3,301
"13158","100%","f",6,"t","Downtown Toronto",43.66109,-79.3781,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$125.00","$0.00","$40.00",4,1,10,0,60,"2018-07-13","2019-04-22",91,5,283
"13159","100%","f",6,"t","Garden District",43.66113,-79.37709,"t","Apartment","Private room",2,1,1,1,"Real Bed","$60.00","$0.00","$15.00",4,1,4,0,12,"2018-07-07","2018-08-01",83,5,25
"13160","100%","t",1,"f","Niagara",43.63657,-79.40283,"f","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$191.00","$300.00","$70.00",2,1,1125,89,18,"2018-07-08","2019-04-09",100,1,275
"13161","N/A","t",1,"f","Downtown Toronto",43.66852,-79.37452,"t","Condominium","Private room",1,1,1,1,"Real Bed","$75.00","","",1,1,1125,0,5,"2018-07-22","2018-09-23",96,1,63
"13162","100%","t",4,"f","York University Heights",43.76781,-79.50088,"f","Townhouse","Private room",2,2,1,1,"Real Bed","$63.00","$135.00","$13.00",1,1,1125,357,12,"2018-08-05","2019-01-07",98,4,155
"13163","93%","f",3,"f","Downtown Toronto",43.65512,-79.39216,"t","Apartment","Private room",3,1,1,1,"Real Bed","$99.00","$0.00","$40.00",2,3,21,35,16,"2018-08-03","2019-04-09",91,3,249
"13164","100%","t",1,"f","Downtown Toronto",43.64248,-79.3825,"t","Condominium","Entire home/apt",4,1,0,1,"Real Bed","$79.00","$250.00","$40.00",2,1,1125,125,126,"2018-07-03","2019-04-21",99,1,292
"13165","100%","f",2,"f","Bendale",43.76352,-79.24906,"t","Bungalow","Entire home/apt",6,1.5,3,4,"Real Bed","$250.00","$200.00","$0.00",1,1,28,312,12,"2018-07-09","2019-04-21",98,2,286
"13166","100%","f",15,"f","Financial District",43.65092,-79.38306,"t","Condominium","Entire home/apt",2,1,0,1,"Real Bed","$99.00","$199.00","$79.00",2,1,1125,154,33,"2018-07-08","2019-04-28",95,15,294
"13167","92%","t",1,"f","Niagara",43.6394,-79.41699,"f","Condominium","Entire home/apt",4,2,2,2,"Real Bed","$160.00","","$150.00",1,1,1125,97,16,"2018-07-23","2019-04-20",99,1,271
"13168","90%","t",1,"t","South Hill/Rathnelly",43.68171,-79.3987,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$111.00","$0.00","$50.00",1,4,60,101,10,"2018-07-18","2019-04-17",100,1,273
"13169","100%","f",1,"f","Entertainment District",43.64244,-79.37976,"f","Condominium","Entire home/apt",4,1,1,2,"Real Bed","$150.00","$150.00","$64.00",2,1,180,65,86,"2018-07-11","2019-04-17",94,1,280
"13170","100%","t",1,"t","Downtown Toronto",43.63893,-79.38263,"t","Condominium","Entire home/apt",4,1,1,2,"Real Bed","$160.00","$0.00","$95.00",1,4,60,39,21,"2018-07-30","2019-04-30",100,1,274
"13171","100%","t",2,"f","Financial District",43.65045,-79.38185,"f","Condominium","Entire home/apt",4,1,2,2,"Real Bed","$180.00","$300.00","$60.00",1,1,1125,123,40,"2018-09-10","2019-05-02",98,2,234
"13172","100%","f",2,"f","Thistletown",43.73224,-79.56192,"t","Guest suite","Entire home/apt",2,4.5,1,1,"Real Bed","$56.00","$0.00","$15.00",2,2,1124,164,31,"2018-07-06","2019-04-09",94,2,277
"13173","100%","f",2,"f","Entertainment District",43.63939,-79.38998,"t","Condominium","Private room",2,1,1,1,"Real Bed","$48.00","$150.00","$15.00",1,1,30,10,27,"2018-07-06","2018-09-02",100,2,58
"13174","90%","f",1,"f","Downtown Toronto",43.66131,-79.38491,"t","Condominium","Private room",2,1,1,1,"Real Bed","$110.00","$1,000.00","$40.00",1,1,1125,93,11,"2018-07-14","2018-09-03",100,1,51
"13175","100%","f",1,"t","The Danforth",43.67949,-79.30085,"t","Guest suite","Entire home/apt",3,1,0,2,"Real Bed","$150.00","$500.00","$20.00",1,1,1125,179,3,"2018-07-03","2018-08-06",100,1,34
"13176","100%","f",1,"f","Downtown Toronto",43.65505,-79.3949,"f","Townhouse","Entire home/apt",5,1,1,3,"Real Bed","$281.00","$500.00","$80.00",2,1,1125,36,6,"2018-08-06","2019-04-28",100,1,265
"13177","100%","f",18,"f","South Hill/Rathnelly",43.68215,-79.39725,"t","House","Private room",2,2,1,1,"Real Bed","$39.00","","$10.00",1,1,1125,33,60,"2018-07-09","2019-04-29",88,18,294
"13178","100%","t",11,"f","Harbourfront",43.64142,-79.3812,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$199.00","$300.00","$70.00",1,7,1125,70,28,"2018-07-20","2019-04-27",97,6,281
"13179","98%","t",2,"f","Cliffcrest",43.71895,-79.23507,"f","Villa","Entire home/apt",8,4.5,4,5,"Real Bed","$95.00","","",8,1,1125,70,34,"2018-07-07","2019-05-05",99,2,302
"13180","100%","t",1,"t","Riverdale",43.66535,-79.32913,"f","Guest suite","Entire home/apt",2,1,0,1,"Real Bed","$90.00","$150.00","$40.00",2,3,20,279,39,"2018-07-22","2019-04-28",96,1,280
"13181","100%","f",5,"f","Parkview",43.70111,-79.30215,"t","Bungalow","Private room",1,1,1,1,"Real Bed","$48.00","$200.00","$45.00",1,1,1125,90,1,"2019-03-10","2019-03-10",100,5,0
"13182","90%","t",1,"f","Scarborough Junction",43.73283,-79.2568,"t","Bungalow","Entire home/apt",7,1,3,3,"Real Bed","$99.00","$1,000.00","$70.00",4,1,14,166,62,"2018-07-06","2019-04-28",95,1,296
"13183","100%","t",3,"f","Downtown Toronto",43.65345,-79.40351,"t","House","Private room",2,1.5,1,1,"Real Bed","$70.00","$0.00","$30.00",1,1,130,126,30,"2018-07-12","2019-05-05",97,3,297
"13184","93%","f",3,"f","Downtown Toronto",43.65657,-79.39121,"t","Apartment","Private room",2,1,1,1,"Real Bed","$81.00","$0.00","$30.00",2,3,21,18,35,"2018-07-27","2019-04-25",91,3,272
"13185","93%","f",3,"f","Downtown Toronto",43.65705,-79.39239,"t","Apartment","Entire home/apt",4,1,2,2,"Real Bed","$180.00","$0.00","$60.00",4,3,21,15,15,"2018-07-15","2019-03-31",85,3,259
"13186","50%","f",1,"t","Downtown Toronto",43.64142,-79.37863,"t","Condominium","Entire home/apt",3,1,1,1,"Real Bed","$375.00","$350.00","$70.00",3,2,31,180,2,"2018-09-24","2018-09-27",100,1,3
"13187","100%","t",4,"f","Dufferin Grove",43.65505,-79.43803,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$110.00","$0.00","$70.00",2,2,1125,114,26,"2018-07-08","2019-04-21",97,4,287
"13188","N/A","f",1,"t","Downtown Toronto",43.64529,-79.39061,"t","Condominium","Entire home/apt",3,1,1,2,"Real Bed","$171.00","$300.00","$50.00",1,2,1125,0,6,"2018-08-06","2018-09-15",93,1,40
"13189","100%","t",4,"f","Dufferin Grove",43.65594,-79.43856,"t","Apartment","Entire home/apt",4,1,1,2,"Real Bed","$119.00","$0.00","$70.00",2,2,1125,142,15,"2018-07-08","2019-03-06",93,4,241
"13190","98%","t",2,"f","Cliffcrest",43.71677,-79.23664,"f","House","Private room",4,2,1,1,"Real Bed","$81.00","","",1,1,1125,89,17,"2018-07-18","2019-01-03",93,2,169
"13191","67%","f",1,"f","Harbourfront",43.64305,-79.37649,"t","Condominium","Entire home/apt",3,1,1,2,"Real Bed","$229.00","$0.00","$60.00",1,2,1125,218,9,"2018-07-13","2018-09-26",93,1,75
"13192","N/A","f",1,"f","Willowdale",43.77658,-79.41245,"f","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$136.00","","$60.00",1,2,1125,0,1,"2018-09-09","2018-09-09",100,1,0
"13193","100%","t",4,"f","Dufferin Grove",43.65497,-79.43832,"t","Apartment","Entire home/apt",6,1,3,4,"Real Bed","$290.00","$0.00","$95.00",1,2,1125,0,13,"2018-07-09","2018-11-10",98,4,124
"13194","100%","f",5,"f","Downtown Toronto",43.65977,-79.40906,"t","Condominium","Entire home/apt",4,1,1,1,"Real Bed","$97.00","$225.00","$70.00",1,1,365,238,34,"2018-07-08","2019-04-21",88,5,287
"13195","100%","f",1,"f","Entertainment District",43.64352,-79.3903,"t","Condominium","Entire home/apt",6,1,2,3,"Real Bed","$111.00","$250.00","$100.00",1,1,365,130,46,"2018-07-13","2019-04-13",93,1,274
"13196","75%","t",1,"f","Islington",43.6104,-79.55803,"t","Condominium","Private room",1,1,0,1,"Real Bed","$75.00","$131.00","$50.00",1,7,1125,179,4,"2018-08-19","2019-03-09",100,1,202
"13197","100%","t",9,"f","Roncesvalles",43.6466,-79.44288,"t","Apartment","Entire home/apt",3,1,0,2,"Real Bed","$149.00","$400.00","$125.00",2,2,1125,338,13,"2018-08-06","2019-04-30",100,9,267
"13198","91%","f",2,"f","Harbourfront",43.64269,-79.37824,"t","Condominium","Private room",2,1,1,1,"Real Bed","$109.00","$0.00","$0.00",1,1,1125,133,32,"2018-07-19","2019-04-09",94,1,264
"13199","69%","f",2,"f","Etobicoke West Mall",43.63973,-79.56278,"t","Condominium","Private room",2,1,1,1,"Real Bed","$53.00","$0.00","$10.00",1,2,20,12,37,"2018-07-14","2019-04-03",88,2,263
"13200","100%","f",4,"f","Entertainment District",43.64869,-79.39168,"f","Boutique hotel","Private room",2,1,1,1,"Real Bed","$189.00","","$0.00",2,1,1125,313,1,"2019-02-23","2019-02-23",100,4,0
"13201","100%","f",4,"f","Entertainment District",43.64907,-79.39244,"f","Boutique hotel","Private room",2,1,1,1,"Real Bed","$209.00","","$0.00",2,1,1125,282,0,"","",NA,4,NA
"13202","100%","f",4,"f","Entertainment District",43.64843,-79.39175,"f","Boutique hotel","Private room",2,1,1,1,"Real Bed","$199.00","","$0.00",2,1,1125,242,0,"","",NA,4,NA
"13203","100%","f",4,"f","Entertainment District",43.64909,-79.3925,"f","Boutique hotel","Private room",2,1,1,1,"Real Bed","$230.00","","$0.00",2,1,1125,298,1,"2019-04-13","2019-04-13",100,4,0
"13204","100%","f",1,"f","Downtown Toronto",43.66069,-79.38238,"t","Condominium","Entire home/apt",4,1,0,2,"Real Bed","$140.00","$250.00","$50.00",1,1,1125,82,30,"2018-07-16","2019-04-25",93,1,283
"13205","N/A","f",1,"f","Islington",43.64812,-79.53162,"f","Apartment","Shared room",1,1,1,1,"Real Bed","$99.00","","",1,1,1125,0,0,"","",NA,1,NA
"13206","N/A","t",4,"f","Bayview Village",43.77744,-79.37533,"t","House","Entire home/apt",5,2,3,4,"Real Bed","$150.00","","",1,1,30,0,4,"2018-07-19","2018-09-08",90,4,51
"13207","100%","t",1,"f","Entertainment District",43.6487,-79.39099,"t","Apartment","Entire home/apt",4,2,2,2,"Real Bed","$129.00","$299.00","$90.00",1,26,1125,132,5,"2018-10-09","2019-01-20",96,1,103
"13208","100%","f",1,"f","Roncesvalles",43.65243,-79.45021,"t","Condominium","Entire home/apt",4,2,2,2,"Real Bed","$99.00","$0.00","$30.00",1,2,1125,0,8,"2018-07-12","2019-04-14",94,1,276
"13209","100%","t",1,"f","Downtown Toronto",43.64967,-79.37405,"t","Condominium","Entire home/apt",4,1,1,2,"Real Bed","$149.00","$1,000.00","$98.00",2,2,31,230,11,"2018-07-16","2019-04-21",96,1,279
"13210","N/A","f",1,"f","Entertainment District",43.64714,-79.3929,"t","Condominium","Entire home/apt",4,1,1,2,"Real Bed","$140.00","$0.00","$100.00",1,2,1125,0,2,"2018-11-30","2019-01-01",100,1,32
"13211","N/A","f",1,"t","Niagara",43.64437,-79.41359,"t","Townhouse","Entire home/apt",6,2.5,3,2,"Real Bed","$250.00","$0.00","$50.00",1,6,1125,0,2,"2018-08-07","2018-08-15",100,1,8
"13212","100%","t",1,"f","Greenwood-Coxwell",43.67415,-79.32574,"t","Apartment","Entire home/apt",3,1,1,2,"Real Bed","$68.00","$150.00","$50.00",2,3,30,273,9,"2018-07-15","2019-04-28",96,1,287
"13213","100%","f",25,"f","Entertainment District",43.64131,-79.38253,"t","Condominium","Entire home/apt",5,2,2,2,"Real Bed","$299.00","$300.00","$95.00",1,14,365,122,27,"2018-07-27","2019-04-10",93,13,257
"13214","87%","f",75,"t","Mimico",43.62432,-79.48268,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$169.00","$500.00","$0.00",1,10,365,84,3,"2018-08-13","2019-03-06",93,75,205
"13215","100%","f",1,"t","Downtown Toronto",43.63968,-79.39778,"t","Condominium","Entire home/apt",5,2,2,2,"Real Bed","$230.00","$150.00","$70.00",4,1,1125,336,57,"2018-07-14","2019-04-26",92,1,286
"13216","100%","t",1,"f","Downtown Toronto",43.64831,-79.37507,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$129.00","$250.00","$55.00",1,1,1125,98,70,"2018-07-07","2019-04-28",95,1,295
"13217","N/A","f",1,"f","Downtown Toronto",43.6595,-79.40222,"f","House","Private room",2,1,1,1,"Real Bed","$30.00","","",1,1,1125,0,0,"","",NA,1,NA
"13218","100%","t",5,"f","Tam O'Shanter",43.7803,-79.29015,"t","House","Private room",2,1,1,1,"Real Bed","$50.00","$200.00","$40.00",1,1,1125,34,3,"2018-08-07","2018-08-25",93,5,18
"13219","100%","f",1,"f","Wychwood Park",43.6749,-79.41936,"t","House","Entire home/apt",7,2,4,5,"Real Bed","$145.00","$500.00","$120.00",4,1,30,128,3,"2018-07-04","2018-12-28",100,1,177
"13220","100%","f",20,"t","Mimico",43.6313,-79.47493,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$119.00","$400.00","$79.00",4,30,90,137,1,"2018-08-10","2018-08-10",100,19,0
"13221","100%","f",2,"f","Niagara",43.64561,-79.40723,"t","House","Private room",2,2,1,1,"Real Bed","$99.00","$0.00","$39.00",1,1,14,20,25,"2018-07-29","2019-04-07",93,2,252
"13222","90%","t",3,"f","Riverdale",43.66798,-79.33873,"f","In-law","Private room",1,1,1,1,"Real Bed","$67.00","$180.00","$50.00",1,2,30,29,7,"2018-07-16","2018-09-13",100,3,59
"13223","N/A","f",1,"t","Harbourfront",43.63771,-79.38829,"f","Condominium","Private room",3,1,1,1,"Real Bed","$64.00","$300.00","$10.00",2,1,1125,0,7,"2018-07-04","2018-07-21",90,1,17
"13224","N/A","f",1,"f","Entertainment District",43.64363,-79.39222,"t","Condominium","Private room",1,1,1,1,"Real Bed","$75.00","$0.00","$7.00",1,5,30,24,0,"","",NA,1,NA
"13225","100%","t",1,"t","Palmerston/Little Italy",43.66207,-79.41989,"t","House","Entire home/apt",6,1,2,3,"Real Bed","$247.00","$0.00","$60.00",1,2,28,34,18,"2018-07-19","2019-04-22",100,1,277
"13226","86%","t",3,"t","Dovercourt Park",43.66839,-79.42829,"t","House","Entire home/apt",3,1,1,1,"Real Bed","$109.00","$0.00","$80.00",1,2,1125,134,9,"2018-07-22","2018-09-16",98,3,56
"13227","79%","f",19,"f","Entertainment District",43.64234,-79.38091,"t","Condominium","Entire home/apt",2,1,0,1,"Real Bed","$160.00","$500.00","$100.00",1,2,1125,359,3,"2018-07-10","2019-04-09",100,1,273
"13228","N/A","f",4,"f","L'Amoreaux",43.81075,-79.32597,"f","House","Private room",2,1,1,1,"Real Bed","$68.00","$131.00","$15.00",1,3,1125,0,1,"2018-08-07","2018-08-07",100,4,0
"13229","N/A","f",4,"f","L'Amoreaux",43.81034,-79.32431,"f","House","Private room",2,1,1,1,"Real Bed","$48.00","$3,000.00","$15.00",1,1,1125,87,3,"2018-07-31","2018-09-30",93,4,61
"13230","N/A","f",4,"f","L'Amoreaux",43.81055,-79.32465,"f","House","Private room",2,1,1,1,"Real Bed","$48.00","$3,000.00","$15.00",1,1,1125,0,2,"2018-07-28","2018-08-05",60,4,8
"13231","100%","t",5,"f","Riverdale",43.67045,-79.32856,"f","House","Private room",4,1,1,2,"Real Bed","$71.00","$0.00","$47.00",1,2,30,90,23,"2018-07-13","2019-04-21",98,5,282
"13232","100%","t",5,"f","Riverdale",43.67149,-79.32945,"f","House","Private room",2,1,1,1,"Real Bed","$68.00","$0.00","$47.00",1,2,30,84,11,"2018-07-09","2019-05-01",96,5,296
"13233","100%","t",1,"f","Downtown Toronto",43.66072,-79.4045,"t","Apartment","Entire home/apt",3,1,1,1,"Real Bed","$119.00","$250.00","$70.00",1,3,1125,36,13,"2018-07-22","2019-04-22",98,1,274
"13234","N/A","t",4,"f","Bayview Village",43.77671,-79.3756,"t","House","Private room",4,1,2,3,"Real Bed","$68.00","","",1,1,30,0,7,"2018-07-09","2018-08-01",100,4,23
"13235","100%","f",21,"f","Riverdale",43.66562,-79.35205,"t","Serviced apartment","Private room",2,2,1,1,"Real Bed","$46.00","$134.00","$25.00",1,1,90,317,15,"2018-10-28","2019-04-28",84,12,182
"13236","100%","f",8,"f","Downtown Toronto",43.64736,-79.39839,"t","Apartment","Entire home/apt",3,1,0,2,"Real Bed","$119.00","$0.00","$49.00",1,1,60,142,90,"2018-07-07","2019-04-27",94,8,294
"13237","100%","f",8,"f","Fashion District",43.64787,-79.3975,"t","Apartment","Entire home/apt",3,1,1,2,"Real Bed","$119.00","$0.00","$49.00",1,1,90,113,83,"2018-07-10","2019-04-29",96,8,293
"13238","100%","t",4,"f","Downtown Toronto",43.6439,-79.38842,"t","Condominium","Entire home/apt",3,1,1,2,"Real Bed","$180.00","$750.00","$60.00",4,1,1124,92,28,"2018-08-20","2019-04-20",98,4,243
"13239","100%","t",2,"f","Niagara",43.63645,-79.4067,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$200.00","$300.00","$25.00",1,1,16,0,8,"2018-07-15","2019-03-03",93,2,231
"13240","N/A","t",4,"f","Bayview Village",43.77715,-79.37586,"t","House","Private room",2,1,1,1,"Real Bed","$34.00","","",1,1,90,0,5,"2018-07-14","2018-09-01",100,4,49
"13241","100%","f",2,"t","Downtown Toronto",43.64198,-79.39139,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$145.00","$201.00","$45.00",1,2,1125,103,22,"2018-07-18","2019-05-05",100,2,291
"13242","100%","f",4,"f","Mount Dennis",43.69115,-79.50622,"f","Townhouse","Private room",1,1,1,1,"Airbed","$60.00","","$10.00",1,1,1125,365,9,"2018-09-11","2019-02-10",91,4,152
"13243","N/A","f",1,"t","Birch Cliff",43.68622,-79.2762,"t","Bungalow","Entire home/apt",4,1,2,4,"Real Bed","$385.00","$500.00","$65.00",4,3,1125,186,1,"2018-07-07","2018-07-07",NA,1,0
"13244","100%","f",2,"f","Highland Creek",43.79492,-79.18149,"t","Bungalow","Private room",2,1,1,1,"Real Bed","$56.00","$200.00","$15.00",1,1,1125,340,28,"2018-07-10","2019-04-08",82,2,272
"13245","100%","f",1,"t","Dufferin Grove",43.65858,-79.43473,"t","House","Private room",1,2,1,1,"Real Bed","$125.00","$150.00","$80.00",1,2,1125,340,0,"","",NA,1,NA
"13246","100%","f",5,"f","Oakwood",43.68302,-79.43376,"f","House","Private room",1,2,1,1,"Real Bed","$24.00","","$20.00",1,2,90,257,10,"2018-09-01","2019-04-27",90,5,238
"13247","33%","f",1,"f","Riverdale",43.66564,-79.32677,"t","House","Entire home/apt",4,1,2,2,"Real Bed","$375.00","$750.00","$65.00",4,2,1125,139,0,"","",NA,1,NA
"13248","100%","f",14,"f","Fairbank",43.69155,-79.44286,"f","House","Private room",1,1.5,1,1,"Real Bed","$75.00","$750.00","$150.00",1,10,1125,330,1,"2018-12-22","2018-12-22",100,7,0
"13249","100%","f",1,"f","Downtown Toronto",43.63963,-79.39645,"t","Condominium","Entire home/apt",3,1,1,2,"Real Bed","$199.00","$699.00","$125.00",3,1,1100,171,22,"2018-07-13","2019-05-01",94,1,292
"13250","100%","f",1,"t","Davisville",43.71119,-79.39723,"t","Apartment","Entire home/apt",2,1,1,1,"Real Bed","$150.00","$500.00","$30.00",2,1,7,78,3,"2018-07-14","2018-08-26",87,1,43
"13251","100%","t",13,"f","Fairbank",43.67221,-79.43675,"t","Condominium","Entire home/apt",6,1.5,2,3,"Real Bed","$111.00","$250.00","$75.00",1,1,365,195,27,"2018-07-13","2019-04-19",96,13,280
"13252","N/A","f",1,"f","Downtown Toronto",43.64219,-79.38154,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$119.00","","",1,7,21,0,1,"2018-07-06","2018-07-06",NA,1,0
"13253","100%","t",1,"f","Wallace Emerson",43.65863,-79.44962,"f","Guest suite","Entire home/apt",3,1,1,2,"Real Bed","$70.00","","$0.00",3,3,15,0,45,"2018-07-15","2019-04-24",97,1,283
"13254","100%","t",1,"f","Downtown Toronto",43.65934,-79.38002,"t","Apartment","Entire home/apt",3,1,1,2,"Real Bed","$140.00","$0.00","$50.00",2,1,30,116,71,"2018-07-07","2019-04-21",96,1,288
"13255","100%","t",1,"t","The Danforth",43.67583,-79.3084,"t","House","Private room",2,1,1,1,"Real Bed","$75.00","$200.00","$30.00",1,1,30,83,21,"2018-07-20","2019-04-14",100,1,268
"13256","50%","f",2,"f","Milliken",43.81808,-79.27248,"f","House","Private room",2,1,1,1,"Real Bed","$44.00","$0.00","$0.00",1,1,1125,279,6,"2018-08-14","2018-11-11",97,2,89
"13257","100%","f",2,"f","Parkdale",43.63867,-79.43206,"t","Apartment","Entire home/apt",2,1,0,1,"Real Bed","$44.00","$300.00","$50.00",1,2,10,126,21,"2018-07-20","2019-05-03",97,2,287
"13258","100%","f",21,"f","Downtown Toronto",43.66032,-79.36907,"t","Townhouse","Entire home/apt",8,1,3,4,"Real Bed","$226.00","$600.00","$165.00",8,1,365,234,24,"2018-08-13","2019-04-22",89,21,252
"13259","N/A","f",0,"f","Wychwood Park",43.67318,-79.42149,"t","Guest suite","Entire home/apt",2,1,0,1,"Real Bed","$81.00","$250.00","$35.00",1,3,30,98,2,"2018-07-31","2018-08-30",80,1,30
"13260","N/A","f",1,"f","Trinity-Bellwoods",43.65041,-79.40618,"t","House","Private room",1,2,1,1,"Real Bed","$30.00","","",1,4,29,0,1,"2018-08-06","2018-08-06",100,1,0
"13261","50%","f",2,"f","Downtown Toronto",43.64108,-79.38308,"t","Condominium","Entire home/apt",2,1,0,1,"Real Bed","$81.00","$250.00","$100.00",1,2,40,171,13,"2018-08-13","2019-04-27",92,2,257
"13262","98%","f",3,"f","Downtown Toronto",43.6421,-79.38161,"t","Condominium","Entire home/apt",2,1,1,1,"Real Bed","$156.00","$299.00","$60.00",2,1,1125,78,70,"2018-07-07","2019-05-04",92,3,301
